File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors
TaskAttemptContainerAssignedEvent.java,1,1,1,1,4,0,4,0,1,0,0,3,3,3,2,3,0,0,0,3,46,8,21,12,5,17,12,16,11,5,1,1,1,1,0,0.81,3,3,3,3,0,1,0,0,2
TaskAttemptContainerLaunchedEvent.java,1,1,1,1,8,0,3,5,1,0,0,2,2,2,1,2,0,0,0,2,45,6,12,6,3,27,6,9,6,3,1,1,1,1,0,2.25,2,2,2,2,0,1,0,0,1
TaskAttemptContext.java,0,0,0,0,0,0,0,0,1,0,0,0,4.5,4.5,0,4.5,0,0,0,4.5,53,8,13,12,0,32,8.5,9.5,9.5,0,0,0,0,0,0,2.39,0,0,0,0,0,1,0,0,7
TaskAttemptContextImpl.java,1,1,1,1,4,0,3,0.5,1.5,0,0,12.5,12.5,12.5,2,12.5,0.5,0,0.5,11.5,106.5,14.5,62,34,15,30,24,38,24,14,1,1,1,1,0,0.495,12.5,12.5,12.5,12.5,0,1,0,1,9
TaskAttemptDiagnosticsUpdateEvent.java,1,1,1,1,4,0,4,0,1,0,0,2,2,2,1,2,0,0,0,2,37,7,13,7,3,17,6,9,6,3,1,1,1,1,0,1.31,2,2,2,2,0,1,0,0,2
TaskAttemptEvent.java,1,1,1,1,6,0,3,2,1,0,0,2,2,2,1,2,0,0,0,2,45,6,13,7,3,26,7,10,7,3,1,1,1,1,0,2,2,2,2,2,0,1,0,0,2
TaskAttemptEventType.java,1,1,1,1,0,0,0,0,1,0,0,2,0,2,17,2,0,0,0,2,56,9,20,19,0,27,1,2,2,0,1,1,1,1,0,1.35,2,2,2,2,0,1,0,0,3
TaskAttemptFinishedEvent.java,1,1,1,1,6,0,4,1,1,0,0,14,14,14,9,14,2,0,0,12,139,12,83,37,43,44,55,72,32,40,3,3,3,1,2,0.53,18,18,18,14,0,1,0,0,6
TaskAttemptID.java,1.666666667,1.666666667,1.666666667,1.333333333,9.666666667,0,6.666666667,2.333333333,1,2.333333333,0.666666667,10.66666667,12,9.666666667,0.333333333,12,0.333333333,0,0.333333333,11.33333333,167.6666667,15.33333333,81.33333333,34,39,71,32.33333333,49.33333333,23.66666667,25.66666667,5,5,5,4.333333333,2,0.89,17.66666667,17.66666667,17.66666667,14,0,1,1,0,9
TaskAttemptIdPBImpl.java,1,1,1,1,5,0,5,0,1,0,0,12,12,12,4,12,0,5,0,7,114,18,79,29,39,17,38,57,25,32,4,4,4,3,1,0.22,21,21,23,14,0,1,1,0,3
TaskAttemptImpl.java,2,2,2,1,19,1,16,1,16,10,16,66,67,57,34,67,2,19,4,42,1964,177,1615,517,1064,180,609,786,352,434,14,10,14,5,4,0.11,163,150,170,73,0,1,6,13,78
TaskAttemptInfo.java,1,1,1,1,5,0,4,1,1,0,0,10,10.5,10.5,8,10.5,0,0,1,9.5,106,16,63.5,32,20,26.5,35.5,47.5,29,18.5,2,2,2.5,1,1,0.655,11,11,11.5,10,0,1,1,0,8
TaskAttemptKillEvent.java,1,1,1,1,4,0,4,0,1,0,0,2,2,2,1,2,0,0,0,2,37,7,13,7,3,17,6,9,6,3,1,1,1,1,0,1.31,2,2,2,2,0,1,0,1,1
TaskAttemptListener.java,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,0,0,0,60,9,11,10,0,40,9,10,10,0,0,0,0,0,0,3.64,0,0,0,0,0,1,0,0,3
TaskAttemptListenerImpl.java,1,1,1,1,13,1,9,3,1,0,2,26,26,26,9,26,1,0,6,19,496,72,313,148,152,111,144,184,94,90,6,6,10,1,2,0.35,38,38,42,26,4,1,2,6,26
